key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url
p8a2w5,lait,114.0,150,36.0,0.5327794365831494,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/4c05ee25-7f4e-4aba-8d89-4b7c5345b4b8
p96w4a,gruyère,7.0,40,33.0,0.02998831624042581,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/1d959fbd-77c5-41db-818a-806ffb0e2752
p96w4a,asperges en décoration,18.0,50,32.0,0.07477606127482798,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/9439079d-08f8-47d2-b42b-e67d1e2907f7
wrah5h,pizza aux épinards,149.0,180,31.0,0.5996365052576919,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/bd7799bb-241d-4652-8129-fbaf9bb88d41
6fwmw2,thon,150.0,120,30.0,0.5841879787095937,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/4198fd55-f46c-4b22-a0ab-215e7f648628
p96w4a,jus de pommes,130.0,100,30.0,0.5062962482149812,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/45298d29-08de-4024-b894-1aad62531254
xjvrtk,tronc de brocolis cru,60.0,30,30.0,0.23367519148383747,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/bc9c353c-4fd3-41d7-b5ab-cc73e9587d47
p8a2w5,céréales,78.0,50,28.0,0.28352589900038944,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/ac28838e-2a46-49a2-98c8-d5c99aed7da4
6fwmw2,mélange de légumes,146.0,120,26.0,0.4927950149292483,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/1ddcaacb-fd1a-4ee3-a08b-a3721350d9a9
8japfq,café,60.0,35,25.0,0.19472932623653122,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/86ceb725-f8aa-4f49-a72d-d44fb229ea99
2ahgvr,sauce andalouse,6.0,30,24.0,0.018694015318706996,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/5b8a0853-ecc4-4015-bc9a-2b50766f873a
p8a2w5,chips,52.0,75,23.0,0.15526418278592757,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/68c48786-98a2-4f27-9007-24d28921d1b1
p8a2w5,cocktail hugo,227.0,250,23.0,0.677787874853953,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/70f588a4-d721-46c4-8289-13adaeac86cd
p8a2w5,pain provencales,12.0,35,23.0,0.035830196027521743,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/ae0562ae-9c02-43e0-86e6-4a403128587b
p8a2w5,vinaigrette,8.0,30,22.0,0.02284824094508633,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/9b2c7383-a434-4260-ac30-86103e4546ea
p8a2w5,"dalh de lentilles corail (lentilles corail, oignon, carottes, tomates concassées, 1cs huilde d'olive, épices)",271.0,250,21.0,0.7388030637413995,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/82b53493-1c97-472b-9ec6-8cc698b8cfe4
xjvrtk,carotte,100.0,120,20.0,0.2596391016487083,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/1fa390c1-9169-42c0-abbd-3aa6e1a5c90b
p96w4a,carotte,30.0,50,20.0,0.07789173049461248,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/fab584a3-42d9-4217-a493-ec0d71878e56
p8a2w5,salade verte,15.0,35,20.0,0.03894586524730624,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/23ebd489-c573-4734-9acd-0247f0943fa5
ppf8hc,brocolis,139.0,120,19.0,0.3428534337271193,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/5dfa5302-a2e6-4c74-94fd-8e014ec012bc
ppf8hc,pâte à tartiner au chocolat,22.0,40,18.0,0.051408542126444245,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/f697ce48-4742-4e58-a44b-67e563c6653a
p96w4a,café au lait,232.0,250,18.0,0.5421264442425029,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/6c6322fb-0b69-44bf-a2d9-5b4eb8f1a043
ppf8hc,comcombre,33.0,50,17.0,0.07282876801246267,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/2d798449-e3c7-4b6e-9f74-d788f51b5ce7
wrah5h,pâte à tartiner au chocolat,8.0,25,17.0,0.017655458912112162,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/d73cd6ee-bf84-428a-a927-a802d8037218
p96w4a,maïs,23.0,40,17.0,0.05075944437232247,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/4e021399-8a90-44fe-b06c-0955cd2280f7
wrah5h,pépites de chocolat,9.0,25,16.0,0.018694015318706996,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/c0fb0561-9aaf-42ef-b18e-2677b0c8f7d7
p8a2w5,sauce bolognese,136.0,120,16.0,0.2824873425937946,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/abad1443-f704-4eb9-9657-7a67252ff801
xjvrtk,salade,30.0,45,15.0,0.05841879787095937,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/f490015b-1246-4f64-b1f7-b1f486e3fe67
p8a2w5,tomates,64.0,50,14.0,0.11631831753862132,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/f868b1f6-81b3-484e-96bf-327209241f0e
ppf8hc,compote de pomme,103.0,90,13.0,0.1738283785538102,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/e8b225c0-ce21-4bb4-8fe3-bd745d08045b
wrah5h,pomme,138.0,150,12.0,0.21498117616513046,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/6b584efc-e8bb-46a4-8a19-5e1cc53e7527
p96w4a,asperges,73.0,85,12.0,0.11372192652213424,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/0513b8db-8592-4ef7-aacf-c117d4030b25
wrah5h,fromage râpé,14.0,25,11.0,0.01999221082695054,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/df169d57-7daa-4fa4-b2f7-33365a99af37
ppf8hc,pâte à tartiner au chocolat,25.0,35,10.0,0.03245488770608854,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/e91d6cd3-288e-4e1b-8f24-a92850e02b54
8japfq,oeuf au plat,50.0,60,10.0,0.06490977541217707,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/b6659a8f-25e7-44f7-a351-7873f60f1586
ppf8hc,risotto aux asperges,210.0,220,10.0,0.27262105673114373,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/2833b10a-52c7-409b-ad86-f6147c323f9e
ppf8hc,gressins sésame,21.0,30,9.0,0.024535895105802934,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/bfd79fcd-95ad-4e79-86c2-b3ea477a9d81
xjvrtk,huile de lin,8.0,0,8.0,0.008308451252758666,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/d8aaea52-09df-4596-892c-0d03f5b6b9cd
p96w4a,cake maison,77.0,85,8.0,0.07996884330780216,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/eb2c9033-9784-4cf3-8cf9-159f8bfefd19
6fwmw2,jus de citron,20.0,12,8.0,0.020771128131896664,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/f8cf7e83-ab09-4d49-823b-72e247e390f4
p96w4a,sauce,41.0,35,6.0,0.03193560950279112,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/f57e0ec8-3670-4090-ba32-233b99bdb475
p96w4a,tartine mélasse + beurre,39.0,45,6.0,0.03037777489289887,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/c9db26cc-13d6-4355-97a6-2355ea46cf42
wrah5h,myrtilles,24.0,30,6.0,0.018694015318706996,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/2e7b02f3-969a-4269-bf8a-ee2710c121bc
xjvrtk,huile de lin,7.0,12,5.0,0.004543684278852395,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/59e31b5a-2c5c-48e7-b889-58ed408a3a0a
p96w4a,beurre,5.0,10,5.0,0.0032454887706088536,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/b0979eb7-5126-4d9e-9058-64093ecde7e0
8japfq,pain aux noix,45.0,50,5.0,0.029209398935479684,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/0bd218b2-a4c6-4605-8737-2055d3040f25
xjvrtk,fromage pâte dure,20.0,25,5.0,0.012981955082435414,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/42d05c13-cf2c-433e-a2d3-78a67d41cf05
wrah5h,olives,16.0,20,4.0,0.008308451252758666,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/fcf4b7f7-6426-46b7-94d2-af87390ce037
ppf8hc,parmesan,14.0,10,4.0,0.007269894846163832,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/2833b10a-52c7-409b-ad86-f6147c323f9e
ppf8hc,mayonnaise,11.0,15,4.0,0.005712060236271583,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/5dfa5302-a2e6-4c74-94fd-8e014ec012bc
6fwmw2,semoule,116.0,120,4.0,0.06023627158250033,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/a2a7a39e-6053-4f38-806d-2bfed94b37c0
p96w4a,confiture abricot,9.0,12,3.0,0.003505127872257562,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/1be5e2de-f1fe-4789-baf2-13f24ce8ca0a
ppf8hc,gruyère,27.0,30,3.0,0.010515383616772686,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/bf22a1b3-a8b6-4823-a44b-0893c3097763
p8a2w5,graines de sésame,3.0,5,2.0,0.0007789173049461248,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/18685cd7-995e-4bd3-92cc-bbff2c7bcb42
xjvrtk,vinaigre balsamique,20.0,18,2.0,0.005192782032974166,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/ce668b40-a61f-4ac1-abfd-a150071ddd76
p8a2w5,mousse au chocolat,48.0,50,2.0,0.012462676879137997,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/3fefa20e-b790-4f47-8706-3fb833540eb5
wrah5h,tomate,52.0,50,2.0,0.013501233285732831,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/8c36c212-67bf-4a50-b2ec-e4b780749488
p96w4a,huile d'olive,3.0,5,2.0,0.0007789173049461248,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/5ebafbd6-315d-44a6-8508-ba143d23adb2
p96w4a,pêche,27.0,25,2.0,0.007010255744515124,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/4e021399-8a90-44fe-b06c-0955cd2280f7
p96w4a,cacao,3.0,5,2.0,0.0007789173049461248,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/df716541-77d9-493f-a69b-8cf20719be25
p8a2w5,légumes (oignon en botte et champignon),84.0,85,1.0,0.010904842269245749,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/afe7f5f8-85f4-4bf3-beff-1442e7dfbbe7
ppf8hc,branches de chocolat au lait,24.0,25,1.0,0.0031156692197844994,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/13ca38ef-bc31-407e-af5e-6d61f4317367
p8a2w5,houmous,51.0,50,1.0,0.006620797092042062,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/c03e9bce-c9d5-45d6-ae2b-3e5d25ff8129
xjvrtk,oeuf dur,50.0,50,0.0,0.0,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/1e0291cb-b069-4a2b-9381-8db3239b367b
ppf8hc,noix de cajou,30.0,30,0.0,0.0,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/ab73a92d-e2b8-41ed-b24c-9a71a70e004a
p96w4a,mozarella,80.0,80,0.0,0.0,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/fab584a3-42d9-4217-a493-ec0d71878e56
