key,image_id,url,description,weight,predicted_weight,absolute_error
2ahgvr,a1dcaa3e-bad0-4d16-a8e3-c6217544e407,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/a1dcaa3e-bad0-4d16-a8e3-c6217544e407,salade de pâtes,112.0,120,8.0
2ahgvr,86696374-9089-4002-b305-7567294a5da0,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/86696374-9089-4002-b305-7567294a5da0,verre de vin rouge,132.0,150,18.0
2ahgvr,86696374-9089-4002-b305-7567294a5da0,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/86696374-9089-4002-b305-7567294a5da0,verre de vin rouge,132.0,150,18.0
2ahgvr,b24759a6-90ea-4f9e-a1ad-d52af234de62,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/b24759a6-90ea-4f9e-a1ad-d52af234de62,asperges,177.0,180,3.0
2ahgvr,b24759a6-90ea-4f9e-a1ad-d52af234de62,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/b24759a6-90ea-4f9e-a1ad-d52af234de62,mayonnaise thomy,21.0,20,1.0
2ahgvr,7ee1c208-daaf-4d48-81d3-963dd1301857,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/7ee1c208-daaf-4d48-81d3-963dd1301857,gauffres,63.0,250,187.0
2ahgvr,1f6bdacc-fe43-46a9-b1c9-76457fcdcaa8,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/1f6bdacc-fe43-46a9-b1c9-76457fcdcaa8,carotte,95.0,150,55.0
2ahgvr,1f6bdacc-fe43-46a9-b1c9-76457fcdcaa8,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/1f6bdacc-fe43-46a9-b1c9-76457fcdcaa8,tomates cerises,124.0,150,26.0
2ahgvr,1f9fee78-9967-4275-a8a5-59ec89cbbc67,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/1f9fee78-9967-4275-a8a5-59ec89cbbc67,chèvres chauds,48.0,60,12.0
2ahgvr,1f9fee78-9967-4275-a8a5-59ec89cbbc67,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/1f9fee78-9967-4275-a8a5-59ec89cbbc67,huile de colza holl,10.0,5,5.0
2ahgvr,6ad3a13b-915d-44a0-b6fa-c34c76f40b78,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/6ad3a13b-915d-44a0-b6fa-c34c76f40b78,pizza,402.0,450,48.0
2ahgvr,6ad3a13b-915d-44a0-b6fa-c34c76f40b78,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/6ad3a13b-915d-44a0-b6fa-c34c76f40b78,piment,16.0,15,1.0
2ahgvr,ac89e4ac-710a-4538-aff4-5f87b89ce34e,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/ac89e4ac-710a-4538-aff4-5f87b89ce34e,salade,28.0,80,52.0
2ahgvr,ac89e4ac-710a-4538-aff4-5f87b89ce34e,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/ac89e4ac-710a-4538-aff4-5f87b89ce34e,demi pidé fromage-viande hachée,125.0,150,25.0
2ahgvr,a2d48966-aa71-4479-8b0f-d28dbf8ffab6,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/a2d48966-aa71-4479-8b0f-d28dbf8ffab6,pain pita,62.0,60,2.0
2ahgvr,a2d48966-aa71-4479-8b0f-d28dbf8ffab6,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/a2d48966-aa71-4479-8b0f-d28dbf8ffab6,jambon,51.0,30,21.0
2ahgvr,a2d48966-aa71-4479-8b0f-d28dbf8ffab6,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/a2d48966-aa71-4479-8b0f-d28dbf8ffab6,moutarde,7.0,5,2.0
2ahgvr,d74023c5-5db0-4ce9-8a5d-f6e240701032,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/d74023c5-5db0-4ce9-8a5d-f6e240701032,tomates,330.0,250,80.0
2ahgvr,3308c80e-46c5-4d0e-a497-16542141b7cc,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3308c80e-46c5-4d0e-a497-16542141b7cc,jus andros multi-fruit,250.0,250,0.0
2ahgvr,46bc24bb-befc-4cb6-9141-790523154f4a,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/46bc24bb-befc-4cb6-9141-790523154f4a,kiwi,56.0,75,19.0
2ahgvr,6b1cc73c-e22b-4132-970e-e37910b8b407,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/6b1cc73c-e22b-4132-970e-e37910b8b407,pain,28.0,40,12.0
2ahgvr,6b1cc73c-e22b-4132-970e-e37910b8b407,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/6b1cc73c-e22b-4132-970e-e37910b8b407,crème de marrons,13.0,25,12.0
2ahgvr,870b697a-4ca7-485b-8fb7-2178f9174d29,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/870b697a-4ca7-485b-8fb7-2178f9174d29,tomates,264.0,400,136.0
2ahgvr,870b697a-4ca7-485b-8fb7-2178f9174d29,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/870b697a-4ca7-485b-8fb7-2178f9174d29,olives,19.0,25,6.0
2ahgvr,55942abb-1eae-446a-8c69-bf40fe9d9495,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/55942abb-1eae-446a-8c69-bf40fe9d9495,glace sorbet framboise,92.0,120,28.0
2ahgvr,55942abb-1eae-446a-8c69-bf40fe9d9495,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/55942abb-1eae-446a-8c69-bf40fe9d9495,pomme,111.0,180,69.0
2ahgvr,bde4af63-a58b-4570-91f5-9d102dda144b,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/bde4af63-a58b-4570-91f5-9d102dda144b,pizza,395.0,450,55.0
2ahgvr,b5bf1a7f-a9d6-4fd9-a151-9658e738cc0a,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/b5bf1a7f-a9d6-4fd9-a151-9658e738cc0a,redbull,250.0,250,0.0
2ahgvr,c38af091-7163-4512-9bf6-327ae5fa66de,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/c38af091-7163-4512-9bf6-327ae5fa66de,cookie américan migros,76.0,55,21.0
2ahgvr,ae2d8a61-c883-4db2-8299-53902ff3beb6,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/ae2d8a61-c883-4db2-8299-53902ff3beb6,salade grecque,187.0,250,63.0
2ahgvr,ae2d8a61-c883-4db2-8299-53902ff3beb6,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/ae2d8a61-c883-4db2-8299-53902ff3beb6,sauce salade moutarde,30.0,15,15.0
2ahgvr,cca1db77-eb8e-454d-8ea2-e23840f01b97,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/cca1db77-eb8e-454d-8ea2-e23840f01b97,yogourt nature,180.0,150,30.0
2ahgvr,cca1db77-eb8e-454d-8ea2-e23840f01b97,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/cca1db77-eb8e-454d-8ea2-e23840f01b97,flocons d'avoine,20.0,40,20.0
2ahgvr,cca1db77-eb8e-454d-8ea2-e23840f01b97,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/cca1db77-eb8e-454d-8ea2-e23840f01b97,son d'avoine,10.0,15,5.0
2ahgvr,cca1db77-eb8e-454d-8ea2-e23840f01b97,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/cca1db77-eb8e-454d-8ea2-e23840f01b97,miel,7.0,15,8.0
2ahgvr,cca1db77-eb8e-454d-8ea2-e23840f01b97,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/cca1db77-eb8e-454d-8ea2-e23840f01b97,graine de chia,6.0,15,9.0
2ahgvr,cca1db77-eb8e-454d-8ea2-e23840f01b97,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/cca1db77-eb8e-454d-8ea2-e23840f01b97,purée d'amande,5.0,15,10.0
2ahgvr,5540e99f-84bd-4971-a7b2-caab6b4282bb,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/5540e99f-84bd-4971-a7b2-caab6b4282bb,steak végétarien et sauce aux oignons,153.0,120,33.0
2ahgvr,5540e99f-84bd-4971-a7b2-caab6b4282bb,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/5540e99f-84bd-4971-a7b2-caab6b4282bb,pâtes,117.0,120,3.0
2ahgvr,5540e99f-84bd-4971-a7b2-caab6b4282bb,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/5540e99f-84bd-4971-a7b2-caab6b4282bb,gratin de côtes de bettes,69.0,120,51.0
2ahgvr,5540e99f-84bd-4971-a7b2-caab6b4282bb,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/5540e99f-84bd-4971-a7b2-caab6b4282bb,chou romanesco,74.0,85,11.0
2ahgvr,5540e99f-84bd-4971-a7b2-caab6b4282bb,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/5540e99f-84bd-4971-a7b2-caab6b4282bb,parmesan,,10,
2ahgvr,59b1807f-eb91-443d-9315-11b6fa7c948d,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/59b1807f-eb91-443d-9315-11b6fa7c948d,cerises,54.0,120,66.0
2ahgvr,fb2a197e-9ecd-4c2c-b686-2bc13e28ef1c,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/fb2a197e-9ecd-4c2c-b686-2bc13e28ef1c,tartine avec crème de marrons et beurre,47.0,50,3.0
2ahgvr,39ffd518-c349-4e45-ae4e-4679a17bd8bf,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/39ffd518-c349-4e45-ae4e-4679a17bd8bf,tartine nutela,50.0,60,10.0
6fwmw2,98d8b22d-e851-44f8-aa53-4870e6c3eb80,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/98d8b22d-e851-44f8-aa53-4870e6c3eb80,pomme,141.0,180,39.0
6fwmw2,7826992b-fc26-4b9a-86e5-fb003e3f80f5,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/7826992b-fc26-4b9a-86e5-fb003e3f80f5,lait,21.0,50,29.0
6fwmw2,7826992b-fc26-4b9a-86e5-fb003e3f80f5,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/7826992b-fc26-4b9a-86e5-fb003e3f80f5,café,77.0,200,123.0
6fwmw2,90ede4d6-dd23-459a-9095-bb5f235eb05f,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/90ede4d6-dd23-459a-9095-bb5f235eb05f,baby banane,39.0,80,41.0
6fwmw2,94bec6dc-08c6-4b18-a5dd-c9eced5417e9,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/94bec6dc-08c6-4b18-a5dd-c9eced5417e9,porridge,280.0,250,30.0
6fwmw2,cb3496da-5eda-49b3-9a80-48141380eba3,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/cb3496da-5eda-49b3-9a80-48141380eba3,eau chaude,451.0,250,201.0
6fwmw2,5b084bce-29b9-4443-8541-614869ed5d93,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/5b084bce-29b9-4443-8541-614869ed5d93,asperge,45.0,40,5.0
6fwmw2,5b084bce-29b9-4443-8541-614869ed5d93,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/5b084bce-29b9-4443-8541-614869ed5d93,steak haché,131.0,150,19.0
6fwmw2,5b084bce-29b9-4443-8541-614869ed5d93,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/5b084bce-29b9-4443-8541-614869ed5d93,maïs,164.0,150,14.0
6fwmw2,bc199ae9-704c-4761-af66-2eafdc823377,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/bc199ae9-704c-4761-af66-2eafdc823377,kiwi,98.0,75,23.0
6fwmw2,c27a45fe-498a-408a-833a-9c26b19d6482,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/c27a45fe-498a-408a-833a-9c26b19d6482,bircher muesli,136.0,200,64.0
6fwmw2,f8cf7e83-ab09-4d49-823b-72e247e390f4,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/f8cf7e83-ab09-4d49-823b-72e247e390f4,eau chaude,332.0,250,82.0
6fwmw2,f8cf7e83-ab09-4d49-823b-72e247e390f4,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/f8cf7e83-ab09-4d49-823b-72e247e390f4,jus de citron,20.0,15,5.0
6fwmw2,1d67676b-1abf-4ec5-91ee-87f6655f96f4,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/1d67676b-1abf-4ec5-91ee-87f6655f96f4,sauce tomate,100.0,50,50.0
6fwmw2,1d67676b-1abf-4ec5-91ee-87f6655f96f4,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/1d67676b-1abf-4ec5-91ee-87f6655f96f4,tortellini,257.0,180,77.0
6fwmw2,1d67676b-1abf-4ec5-91ee-87f6655f96f4,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/1d67676b-1abf-4ec5-91ee-87f6655f96f4,haricots vert,77.0,85,8.0
6fwmw2,4198fd55-f46c-4b22-a0ab-215e7f648628,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/4198fd55-f46c-4b22-a0ab-215e7f648628,salade,70.0,50,20.0
6fwmw2,4198fd55-f46c-4b22-a0ab-215e7f648628,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/4198fd55-f46c-4b22-a0ab-215e7f648628,avocat,35.0,50,15.0
6fwmw2,4198fd55-f46c-4b22-a0ab-215e7f648628,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/4198fd55-f46c-4b22-a0ab-215e7f648628,tomate cerise,72.0,80,8.0
